#Time,Speed(Kts)
73591.031000,9.040000
73592.990000,9.190000
73595.028000,9.100000
73596.989000,9.140000
73599.028000,9.120000
73600.986000,9.040000
73603.025000,9.190000
73604.985000,9.140000
73607.041000,9.020000
73609.008000,9.060000
73611.038000,9.100000
73612.998000,9.080000
73615.037000,9.060000
73616.997000,9.160000
73619.048000,9.120000
73620.994000,9.100000
73623.033000,9.100000
73624.993000,9.040000
73627.048000,9.120000
73629.008000,9.080000
73631.047000,9.100000
73633.006000,9.270000
73637.003000,9.100000
73639.042000,9.080000
73641.003000,9.250000
73643.041000,9.120000
73645.007000,9.120000
73647.053000,8.960000
73648.999000,9.230000
73651.053000,9.080000
73652.998000,9.100000
73655.035000,9.140000
73656.996000,9.140000
73659.034000,9.120000
73661.010000,9.080000
73663.046000,9.000000
73664.992000,9.120000
73667.046000,9.040000
73669.007000,9.080000
73671.046000,9.120000
73673.004000,9.100000
73675.042000,9.040000
73677.003000,9.100000
73679.043000,9.160000
73681.001000,9.040000
73683.054000,8.880000
73685.015000,9.040000
73713.004000,9.040000
73717.002000,8.940000
73719.041000,8.960000
73721.002000,8.960000
73723.055000,8.960000
73725.013000,8.810000
73727.006000,8.920000
73729.015000,8.940000
73731.006000,8.900000
73733.015000,8.810000
73735.003000,8.940000
73737.010000,8.880000
73739.127000,8.940000
73741.008000,8.920000
73743.000000,8.840000
73745.022000,8.840000
73747.014000,8.900000
73749.005000,8.830000
73751.014000,8.840000
73753.004000,8.840000
73755.026000,8.840000
73757.033000,8.980000
73759.010000,8.920000
73761.000000,8.840000
73763.008000,8.840000
73765.014000,8.840000
73767.007000,8.810000
73769.011000,8.750000
73771.004000,8.860000
73773.011000,8.860000
73775.005000,8.770000
73777.025000,8.770000
73779.016000,8.880000
73781.007000,8.830000
73783.017000,8.770000
73785.007000,8.810000
73787.072000,8.840000
73789.019000,8.810000
73791.059000,8.860000
73793.019000,8.810000
73795.058000,8.590000
73797.017000,8.840000
73799.071000,8.920000
73801.031000,8.880000
73803.086000,8.790000
73805.029000,8.730000
73807.082000,8.690000
73809.028000,8.690000
73811.066000,8.690000
73813.031000,8.670000
73815.080000,8.730000
73817.025000,8.830000
73819.063000,8.550000
73821.023000,8.750000
73823.061000,8.810000
73825.037000,8.730000
73827.061000,8.880000
73829.019000,8.710000
73831.071000,8.810000
73833.018000,8.750000
73835.071000,8.730000
73837.281000,8.630000
73839.057000,8.790000
73841.030000,8.730000
73843.068000,8.790000
73845.029000,8.670000
73847.021000,8.630000
73849.026000,8.750000
73851.018000,8.670000
73853.025000,8.690000
73855.019000,8.730000
73857.032000,8.710000
73859.031000,8.770000
73861.021000,8.670000
73863.031000,8.590000
73865.022000,8.710000
73867.026000,8.690000
73869.019000,8.790000
73871.027000,8.710000
73873.018000,8.710000
73875.031000,8.860000
73877.016000,8.810000
73879.023000,8.880000
73881.030000,8.830000
73883.022000,8.830000
73885.028000,8.650000
73887.020000,8.830000
73889.027000,8.630000
73891.018000,8.650000
73893.025000,8.730000
73895.017000,8.730000
73897.024000,8.750000
73899.016000,8.710000
73901.030000,8.610000
73903.029000,8.650000
73905.098000,8.770000
73907.136000,8.550000
73909.097000,8.570000
73911.137000,8.830000
73913.094000,8.830000
73915.133000,8.770000
73917.093000,8.790000
73919.133000,8.880000
73921.092000,8.790000
73923.146000,8.880000
73925.091000,8.900000
73927.145000,8.960000
73929.100000,9.020000
73931.143000,8.940000
73933.086000,8.790000
73935.141000,8.980000
73937.087000,8.510000
73939.139000,8.590000
73941.099000,8.810000
73943.138000,9.020000
73945.099000,8.900000
73947.145000,8.710000
73949.095000,9.000000
73951.135000,8.830000
73953.096000,8.900000
73955.133000,8.880000
73957.093000,8.860000
73959.131000,8.860000
73961.092000,8.960000
73963.130000,8.880000
73965.090000,8.880000
73967.144000,8.960000
73969.089000,9.020000
73975.124000,8.940000
73977.099000,8.940000
73979.138000,9.080000
73981.099000,9.160000
73983.137000,9.080000
73985.098000,9.000000
73987.135000,9.020000
73989.096000,9.370000
73991.141000,9.140000
73993.094000,9.210000
73995.131000,9.330000
73997.094000,8.750000
73999.132000,9.100000
74001.089000,9.060000
74003.129000,9.170000
74005.090000,9.080000
74007.128000,9.310000
74009.087000,9.230000
74011.125000,9.310000
74013.102000,9.250000
74015.137000,9.100000
74017.103000,9.410000
74019.123000,9.230000
74021.101000,8.980000
74023.137000,9.210000
74025.131000,9.080000
74029.095000,9.230000
74031.134000,9.290000
74033.094000,9.490000
74035.133000,9.040000
74037.093000,9.290000
74041.090000,9.520000
74043.129000,9.350000
74045.089000,9.250000
74047.127000,9.250000
74049.087000,9.410000
74051.126000,9.060000
74053.100000,9.330000
74055.139000,9.370000
74057.099000,9.060000
74059.122000,9.190000
74061.098000,9.370000
74063.135000,9.310000
74065.096000,9.250000
74067.134000,9.210000
74069.097000,9.310000
74071.136000,9.370000
74073.093000,9.270000
74075.131000,9.290000
74077.091000,9.390000
74079.131000,9.290000
74081.089000,9.330000
74083.129000,9.290000
74087.143000,9.210000
74089.101000,9.210000
74091.141000,9.190000
74093.100000,9.330000
74095.139000,9.370000
74097.108000,9.210000
74099.151000,9.350000
74101.097000,9.390000
74103.152000,9.490000
74105.096000,9.290000
74109.095000,9.430000
74111.148000,9.310000
74113.108000,9.390000
74117.106000,9.290000
74119.129000,9.580000
74121.106000,9.430000
74125.102000,9.190000
74129.103000,9.450000
74131.139000,9.450000
74133.165000,9.410000
74135.138000,9.450000
74137.098000,9.430000
74141.107000,9.490000
74143.182000,9.470000
74145.095000,9.410000
74147.118000,9.370000
74149.077000,9.560000
74151.115000,9.470000
74153.076000,9.470000
74155.115000,9.430000
74157.075000,9.390000
74159.136000,9.450000
74161.071000,9.390000
74163.127000,9.350000
74165.072000,9.540000
74167.126000,9.470000
74169.070000,9.510000
74171.124000,9.470000
74173.820000,9.640000
74177.081000,9.370000
74179.119000,9.410000
74181.081000,9.450000
74183.119000,9.390000
74185.084000,9.430000
74189.077000,9.390000
74191.116000,9.350000
74193.076000,9.290000
74195.113000,9.490000
74197.074000,9.330000
74199.112000,9.310000
74201.073000,9.430000
74203.127000,9.370000
74205.071000,9.330000
74207.124000,9.330000
74209.086000,9.410000
74211.124000,9.350000
74213.083000,9.370000
74215.138000,9.310000
74217.081000,9.390000
74219.135000,9.100000
74221.079000,9.230000
74223.133000,9.310000
74227.116000,9.270000
74229.090000,9.290000
74231.129000,9.410000
74233.076000,9.250000
74235.128000,9.230000
74237.089000,9.540000
74239.126000,9.330000
74241.227000,9.410000
74245.087000,9.330000
74247.130000,9.290000
74249.084000,9.510000
74251.122000,9.310000
74253.083000,9.290000
74255.122000,9.370000
74257.079000,9.230000
74259.119000,9.350000
74261.079000,9.310000
74263.118000,9.250000
74265.136000,9.430000
