#Time,Speed(Kts)
74267.083000,9.410000
74269.077000,9.390000
74271.084000,9.290000
74273.089000,9.270000
74275.080000,9.310000
74277.088000,9.290000
74279.080000,9.290000
74281.087000,9.270000
74283.076000,9.270000
74285.084000,9.270000
74287.077000,9.290000
74289.131000,9.310000
74291.089000,9.290000
74293.082000,9.310000
74295.088000,9.310000
74297.080000,9.290000
74299.088000,9.310000
74301.078000,9.250000
74303.085000,9.410000
74305.077000,9.290000
74307.210000,9.390000
74309.343000,9.330000
74311.097000,9.310000
74313.074000,9.430000
74315.080000,9.490000
74317.088000,9.310000
74319.079000,9.290000
74321.085000,9.310000
74323.077000,9.270000
74325.086000,9.390000
74327.159000,9.410000
74329.098000,9.310000
74331.151000,9.290000
74333.145000,9.350000
74337.111000,9.210000
74339.148000,9.390000
74341.110000,9.270000
74343.148000,9.160000
74345.106000,9.170000
74347.145000,9.210000
74349.107000,9.290000
74351.144000,9.270000
74353.112000,9.210000
74355.143000,9.270000
74357.102000,9.290000
74359.157000,9.190000
74361.102000,9.290000
74363.159000,9.210000
74365.099000,9.330000
74367.153000,9.520000
74369.099000,9.230000
74371.153000,9.250000
74377.111000,8.830000
74379.149000,9.170000
74381.109000,8.900000
74383.146000,9.560000
74385.107000,9.190000
74387.161000,8.960000
74389.105000,8.940000
74401.117000,8.920000
74403.157000,9.060000
74405.115000,9.370000
74407.165000,9.210000
74409.111000,9.160000
74411.150000,9.290000
74413.112000,9.120000
74415.151000,9.140000
74417.109000,9.290000
74419.163000,9.270000
74421.110000,9.100000
74423.163000,9.160000
74425.120000,9.270000
74427.160000,9.160000
74429.105000,9.160000
74431.158000,9.210000
74433.119000,9.100000
74435.156000,9.060000
74437.118000,9.140000
74439.157000,9.330000
74441.117000,9.230000
74443.153000,9.190000
74445.115000,9.040000
74447.168000,9.080000
74449.129000,9.080000
74451.173000,9.100000
74453.127000,9.350000
74455.164000,9.270000
74457.110000,8.960000
74459.164000,8.980000
74461.123000,8.900000
74463.161000,8.940000
74465.120000,9.080000
74467.160000,9.100000
74469.370000,9.190000
74473.118000,8.840000
74475.156000,8.980000
74477.124000,9.120000
74479.154000,9.040000
74481.115000,8.920000
74483.153000,8.940000
74485.115000,9.000000
74487.151000,9.230000
74489.112000,9.190000
74491.150000,9.000000
74493.110000,8.860000
74495.166000,9.190000
74497.123000,9.120000
74499.162000,9.080000
74501.122000,8.900000
74503.161000,8.920000
74505.120000,9.230000
74507.112000,9.210000
74509.120000,9.020000
74511.111000,8.900000
74513.117000,8.920000
74515.109000,8.920000
74517.117000,9.060000
74519.123000,9.210000
74521.123000,9.040000
74523.121000,8.860000
74525.113000,8.980000
74527.120000,9.170000
74529.112000,9.100000
74531.118000,9.020000
74533.111000,9.040000
74535.116000,9.040000
74537.107000,9.060000
74539.122000,8.960000
74541.123000,9.140000
74543.114000,9.060000
74545.121000,8.900000
74547.112000,9.080000
74549.118000,9.190000
74551.109000,9.000000
74553.117000,9.040000
74555.109000,9.080000
74557.115000,9.040000
74559.121000,9.120000
74561.113000,9.040000
74563.230000,9.170000
74565.122000,9.160000
74567.182000,9.270000
74569.142000,9.060000
74571.180000,9.020000
74573.141000,9.160000
74577.138000,9.190000
74579.176000,8.880000
74581.138000,8.810000
74583.175000,9.250000
74585.134000,9.410000
74587.189000,9.060000
74589.134000,9.060000
74591.189000,9.160000
74593.242000,9.040000
74597.130000,9.020000
74599.184000,9.120000
74601.143000,9.160000
74603.183000,9.060000
74605.127000,9.160000
74607.181000,9.250000
74609.142000,9.120000
74611.179000,9.020000
74613.140000,9.140000
74615.178000,9.170000
74617.139000,9.100000
74621.136000,9.230000
74625.135000,9.040000
74627.188000,9.140000
74629.179000,9.140000
74631.187000,9.160000
74633.147000,9.100000
74635.249000,9.290000
74637.191000,9.190000
74639.230000,9.000000
74641.175000,9.020000
74643.229000,9.120000
74645.190000,9.230000
74647.227000,9.250000
74649.187000,9.290000
74651.226000,9.120000
74653.187000,9.080000
74655.237000,9.190000
74657.199000,9.270000
74659.505000,9.540000
74663.222000,9.040000
74665.180000,8.960000
74667.220000,9.000000
74669.181000,9.160000
74671.219000,9.080000
74673.176000,9.000000
74675.217000,8.980000
74677.177000,8.940000
74681.187000,9.000000
74683.228000,9.060000
74685.205000,9.080000
74687.227000,8.940000
74689.188000,8.940000
74691.242000,9.000000
74693.201000,8.980000
74695.239000,9.060000
74697.200000,9.000000
74699.239000,8.900000
74701.182000,8.880000
74703.236000,8.960000
74705.196000,9.140000
74707.235000,9.120000
74709.194000,8.960000
74711.233000,9.040000
74715.232000,8.980000
74717.189000,9.100000
74719.229000,8.980000
74721.189000,8.940000
74723.228000,8.900000
74725.195000,8.980000
74727.338000,8.880000
74729.186000,8.960000
74731.241000,8.840000
74733.187000,8.900000
74735.241000,8.900000
74737.182000,8.840000
74739.237000,8.860000
74741.182000,8.940000
74743.236000,8.940000
74745.179000,8.880000
74747.203000,8.980000
74749.164000,8.960000
74753.175000,8.920000
74755.199000,9.000000
74757.160000,8.920000
74759.214000,8.960000
74761.157000,8.920000
74763.213000,8.940000
74765.156000,8.980000
74767.211000,8.940000
74769.167000,8.940000
74771.208000,9.020000
74773.153000,8.960000
74775.207000,9.020000
74777.153000,9.020000
74779.213000,8.980000
74781.166000,8.940000
74783.234000,9.040000
74785.164000,9.020000
74787.202000,9.040000
74789.162000,9.100000
74791.200000,9.060000
74793.161000,8.980000
74797.158000,8.940000
74799.197000,8.940000
74801.157000,8.960000
74803.227000,9.020000
