#Time(sec since midnight),Speed(Kts)
62573.339000,7.480000
62575.378000,7.850000
62577.338000,7.790000
62579.375000,8.340000
62581.336000,8.240000
62583.373000,8.860000
62585.335000,7.660000
62587.386000,6.630000
62589.331000,5.830000
62591.512000,7.890000
62594.695000,7.080000
62597.330000,6.800000
62599.382000,6.940000
62601.327000,6.920000
62603.381000,7.100000
62605.325000,7.150000
62607.379000,7.830000
62609.324000,7.950000
62611.378000,7.910000
62613.322000,7.410000
62615.376000,7.780000
62617.337000,7.760000
62619.375000,7.580000
62621.336000,7.460000
62623.373000,6.590000
62625.333000,7.040000
62627.388000,7.480000
62629.333000,7.440000
62631.395000,7.290000
62633.345000,7.480000
62635.384000,7.020000
62637.345000,7.330000
62639.383000,6.940000
62641.343000,6.010000
62643.380000,5.580000
62645.342000,6.490000
62647.380000,7.150000
62649.338000,7.500000
62651.393000,6.820000
62653.338000,6.530000
62655.393000,6.400000
62657.347000,6.570000
62659.390000,6.840000
62661.335000,6.670000
62663.388000,6.780000
62665.335000,6.800000
62667.394000,7.060000
62669.347000,7.460000
62671.384000,7.230000
62673.346000,7.020000
62675.384000,7.110000
62677.344000,6.550000
62679.382000,7.100000
62681.342000,6.800000
62683.382000,7.040000
62685.339000,6.570000
62687.393000,6.320000
62689.355000,6.140000
62691.393000,5.970000
62693.353000,6.410000
62695.392000,6.510000
62697.351000,6.240000
62699.390000,7.060000
62701.354000,7.780000
62703.388000,7.950000
62705.347000,7.790000
62707.401000,7.600000
62709.347000,8.320000
62711.401000,7.620000
62713.344000,7.460000
62715.399000,7.970000
62717.344000,7.560000
62719.398000,6.960000
62721.340000,6.840000
62723.396000,7.130000
62725.340000,7.620000
62727.395000,7.890000
62729.353000,7.740000
62731.392000,7.460000
62733.352000,8.140000
62735.391000,7.540000
62737.354000,7.480000
62739.389000,6.940000
62741.349000,7.110000
62743.388000,7.270000
62745.348000,7.040000
62747.401000,7.500000
62749.362000,7.620000
62751.400000,7.870000
62753.360000,7.700000
62755.411000,7.250000
62757.357000,7.890000
62759.397000,6.840000
62761.357000,7.560000
62763.396000,7.910000
62765.354000,8.530000
62767.408000,7.870000
62769.353000,7.870000
62771.408000,7.020000
62773.350000,7.020000
62775.405000,7.330000
62777.351000,7.310000
62779.405000,7.250000
62781.362000,7.460000
62783.402000,7.370000
62785.361000,7.250000
62789.347000,7.540000
62791.398000,7.520000
62793.358000,6.920000
62795.398000,6.760000
62797.358000,7.970000
62799.409000,7.910000
62801.355000,7.830000
62803.410000,7.410000
62805.355000,7.110000
62807.409000,6.670000
62809.368000,7.170000
62811.422000,7.740000
62813.367000,6.050000
62815.422000,6.960000
62817.364000,7.000000
62819.419000,7.290000
62821.364000,7.480000
62823.418000,7.020000
62825.374000,7.020000
62827.415000,7.520000
62829.359000,6.780000
62831.414000,6.980000
62833.359000,7.620000
62835.421000,7.910000
62837.373000,7.680000
62839.426000,7.430000
62841.372000,7.440000
62843.410000,7.930000
62845.369000,7.680000
62847.423000,8.180000
62849.368000,7.600000
62851.423000,7.410000
62853.462000,7.720000
62855.466000,7.990000
62857.364000,7.870000
62859.418000,7.210000
62861.363000,7.250000
62863.417000,7.100000
62865.361000,7.230000
62867.416000,7.660000
62869.376000,7.930000
62871.428000,7.660000
62873.374000,7.760000
62875.428000,7.460000
62877.373000,6.940000
62879.428000,6.960000
62881.369000,7.060000
62883.425000,6.530000
62885.369000,7.020000
62887.424000,7.700000
62889.367000,7.740000
62891.421000,7.290000
62893.366000,7.390000
62895.421000,7.170000
62897.378000,6.780000
62899.417000,6.550000
62901.378000,6.900000
62903.417000,6.800000
62905.379000,6.940000
62907.414000,7.210000
62909.374000,7.350000
62911.414000,7.760000
62913.374000,7.740000
62915.426000,7.150000
62917.372000,6.550000
62919.425000,5.970000
62921.370000,6.030000
62923.425000,5.870000
62925.368000,6.570000
62927.422000,8.260000
62929.383000,7.370000
62931.436000,7.230000
62933.381000,7.130000
62935.435000,6.670000
62937.379000,5.710000
62939.434000,6.200000
62941.376000,6.900000
62943.431000,7.230000
62945.377000,7.600000
62947.431000,7.170000
62949.388000,6.010000
62951.429000,6.140000
62953.372000,6.610000
62955.427000,6.550000
62957.388000,6.800000
62959.436000,7.350000
62961.384000,6.860000
62963.423000,6.100000
62965.384000,6.690000
62967.423000,6.750000
62969.380000,7.080000
62971.435000,7.290000
62973.381000,7.520000
62975.435000,7.870000
62977.378000,7.890000
62979.433000,7.560000
62981.377000,7.250000
62983.431000,6.940000
62985.375000,6.510000
62987.430000,6.140000
62989.389000,6.730000
62991.443000,6.780000
62993.388000,7.520000
62995.441000,7.170000
62997.386000,6.010000
62999.439000,7.080000
63001.384000,7.390000
63003.444000,6.780000
63005.382000,6.690000
63007.437000,6.140000
63009.396000,6.470000
63011.437000,6.690000
63013.394000,7.250000
63015.433000,6.730000
63017.393000,6.860000
63019.431000,7.060000
63021.391000,7.170000
63023.445000,7.150000
63025.391000,7.790000
63027.430000,7.230000
63029.396000,7.370000
63031.443000,7.480000
63033.387000,7.930000
63035.442000,7.500000
63037.386000,7.270000
63039.439000,7.040000
63041.382000,7.270000
63043.438000,7.100000
63045.384000,7.210000
63047.655000,7.190000
63049.585000,6.820000
63051.388000,7.110000
63053.395000,6.920000
63055.396000,6.490000
63057.393000,7.150000
63059.385000,7.760000
63061.391000,8.480000
63063.383000,7.600000
63065.387000,6.610000
63067.382000,6.080000
63069.389000,6.590000
63071.395000,6.450000
63073.396000,7.350000
63075.393000,7.310000
63077.385000,6.880000
63079.393000,7.150000
63081.383000,6.120000
63083.389000,6.470000
63085.380000,7.130000
63087.387000,7.970000
63089.381000,7.520000
63091.395000,7.520000
63093.393000,7.620000
63095.386000,7.680000
63097.392000,8.010000
63099.394000,7.990000
63101.390000,7.460000
63103.382000,7.230000
63105.389000,7.460000
63107.397000,7.290000
63109.402000,6.430000
63111.394000,7.810000
63113.402000,7.620000
63115.394000,6.860000
63117.620000,7.370000
63119.389000,7.560000
63121.398000,6.120000
63123.391000,6.300000
63125.397000,6.430000
63127.403000,6.730000
63129.395000,6.920000
63131.401000,6.220000
63133.394000,6.320000
63135.404000,7.110000
63137.392000,7.270000
63139.399000,7.850000
63141.390000,7.040000
63143.398000,6.410000
63145.404000,7.110000
63147.396000,6.690000
63149.403000,6.980000
63151.395000,7.000000
63153.404000,7.810000
63155.392000,8.130000
63157.401000,7.930000
63159.390000,8.340000
63161.398000,6.550000
63163.388000,7.660000
63165.396000,7.310000
63167.466000,7.310000
63169.410000,7.310000
63171.464000,6.670000
63173.408000,7.170000
63175.463000,7.310000
63177.407000,7.600000
63179.462000,6.920000
63181.420000,6.410000
63183.568000,7.130000
63185.574000,6.980000
