#Time(sec since midnight),Speed(Kts)
66825.913000,6.940000
66827.968000,6.920000
66829.912000,6.820000
66833.926000,6.820000
66837.924000,6.880000
66839.963000,6.960000
66841.923000,6.860000
66843.961000,7.000000
66845.920000,6.980000
66847.960000,6.900000
66849.919000,7.060000
66852.037000,6.960000
66853.917000,6.820000
66855.971000,6.880000
66857.915000,7.040000
66859.970000,7.080000
66861.914000,7.100000
66863.970000,7.000000
66865.912000,6.940000
66867.966000,6.960000
66869.926000,6.880000
66871.967000,6.920000
66873.926000,7.040000
66875.963000,7.060000
66877.923000,7.080000
66879.962000,6.960000
66881.921000,6.880000
66883.960000,6.960000
66885.920000,7.100000
66890.106000,7.060000
66891.972000,6.960000
66894.026000,7.020000
66895.971000,6.960000
66897.932000,6.960000
66899.968000,6.900000
66901.930000,7.040000
66903.968000,7.080000
66905.929000,7.130000
66907.979000,7.060000
66909.927000,7.060000
66911.965000,7.060000
66913.925000,7.080000
66915.979000,7.040000
66917.923000,7.040000
66919.976000,7.040000
66921.921000,7.040000
66923.976000,7.020000
66925.935000,7.110000
66927.973000,7.060000
66929.934000,7.170000
66931.972000,7.040000
66933.935000,7.040000
66935.971000,7.080000
66937.931000,7.020000
66939.968000,6.980000
66941.930000,7.000000
66943.966000,7.110000
66945.927000,7.110000
66947.981000,7.310000
66949.942000,7.020000
66951.996000,6.960000
66953.939000,7.060000
66957.953000,7.080000
66959.978000,7.130000
66961.936000,7.130000
66963.989000,7.170000
66965.934000,7.330000
66967.989000,7.110000
66969.948000,7.170000
66971.986000,7.000000
66973.948000,7.020000
66975.985000,7.000000
66977.948000,7.190000
66979.982000,7.130000
66981.943000,7.110000
66983.983000,7.110000
66985.943000,7.040000
66987.994000,7.060000
66989.941000,7.020000
66991.980000,7.100000
66993.940000,7.040000
66995.979000,7.060000
66997.938000,7.210000
66999.991000,7.330000
67001.937000,7.230000
67003.991000,7.310000
67005.949000,7.190000
67008.003000,7.130000
67009.948000,7.520000
67011.987000,7.660000
67013.952000,7.130000
67015.984000,7.150000
67017.945000,7.310000
67019.983000,7.230000
67021.945000,7.270000
67025.941000,7.230000
67027.996000,7.110000
67029.941000,7.170000
67031.996000,6.940000
67033.938000,6.750000
67035.992000,6.820000
67037.937000,6.690000
67039.992000,6.630000
67041.950000,6.780000
67043.988000,6.530000
67045.950000,6.610000
67047.988000,6.340000
67049.947000,6.710000
67051.985000,6.690000
67053.945000,6.690000
67055.985000,6.710000
67057.952000,6.670000
67059.997000,6.470000
67061.943000,6.490000
67063.998000,6.280000
67065.958000,6.320000
67067.997000,6.220000
67069.956000,6.120000
67071.994000,6.380000
67073.954000,6.360000
67077.951000,6.200000
67080.007000,6.140000
67081.952000,6.100000
67083.989000,5.950000
67085.949000,5.990000
67088.002000,5.870000
67090.103000,5.830000
67093.960000,5.910000
67095.999000,5.870000
67097.960000,5.950000
67099.998000,5.930000
67101.963000,6.050000
67103.996000,5.790000
67105.957000,5.560000
67107.993000,5.480000
67109.955000,5.420000
67112.027000,5.480000
67113.952000,5.370000
67115.991000,5.310000
67117.952000,5.250000
67120.002000,5.170000
67121.950000,5.310000
67123.987000,5.170000
67125.964000,5.270000
67128.003000,5.170000
67129.961000,5.270000
67132.014000,5.420000
67133.962000,5.310000
67136.015000,5.370000
67137.958000,5.400000
67140.013000,5.130000
67141.957000,5.310000
67144.011000,5.190000
67145.971000,5.110000
67148.008000,5.190000
67149.969000,5.130000
67152.010000,5.030000
67153.970000,5.110000
67156.017000,5.090000
67157.966000,4.920000
67160.288000,4.960000
67161.965000,4.960000
67164.003000,4.820000
67165.962000,4.980000
67168.032000,4.840000
67169.962000,4.700000
67172.016000,4.820000
67173.975000,4.800000
67176.014000,4.820000
67177.973000,4.700000
67180.012000,4.650000
67181.975000,4.700000
67184.010000,4.670000
67185.970000,4.510000
67188.024000,4.610000
67189.970000,4.630000
67192.023000,4.550000
67193.967000,4.530000
67196.021000,4.530000
67197.967000,4.550000
67200.020000,4.490000
67201.964000,4.570000
67204.017000,4.530000
67205.980000,4.410000
67208.017000,4.490000
67209.975000,4.550000
67212.014000,4.470000
67213.975000,4.330000
67216.029000,4.410000
67217.972000,4.450000
67220.027000,4.470000
67222.035000,4.550000
67224.026000,4.450000
67226.049000,4.450000
67228.023000,4.490000
67229.985000,4.490000
67232.023000,4.550000
67233.982000,4.470000
67236.033000,4.410000
67237.981000,4.300000
67240.019000,4.100000
67241.979000,3.950000
67244.033000,3.850000
67245.978000,3.630000
67248.031000,3.520000
67249.976000,3.250000
67252.030000,3.520000
67253.974000,3.440000
67256.029000,3.460000
67257.989000,3.500000
67260.027000,3.460000
67261.991000,3.380000
67264.024000,3.360000
67265.985000,3.360000
67268.023000,3.360000
67269.993000,3.320000
67272.020000,3.380000
67273.996000,3.400000
67276.035000,3.400000
67277.981000,3.460000
67280.036000,3.500000
67281.993000,3.500000
67284.032000,3.580000
67285.993000,3.620000
67288.032000,3.540000
67289.990000,3.710000
67292.028000,3.650000
67293.991000,3.650000
67296.028000,3.710000
67297.987000,3.710000
67300.026000,3.670000
67301.987000,3.600000
67304.024000,3.950000
67305.997000,3.750000
67308.038000,3.750000
67309.998000,3.750000
67312.037000,3.730000
67313.998000,3.710000
67316.036000,3.750000
67317.994000,3.600000
67320.033000,3.630000
67321.995000,3.750000
67324.044000,3.670000
67326.039000,3.540000
67328.031000,3.600000
67330.007000,3.770000
67332.029000,3.790000
67334.005000,3.790000
67336.044000,3.770000
67338.003000,3.420000
67340.041000,3.790000
67342.001000,3.850000
67344.039000,3.790000
67345.999000,3.770000
67348.038000,3.950000
67350.007000,3.980000
67352.036000,4.020000
67353.996000,3.980000
67356.035000,3.970000
67357.996000,4.000000
67362.102000,3.930000
67364.031000,3.970000
67366.007000,3.980000
67368.046000,4.000000
67370.004000,3.810000
67372.043000,3.970000
67374.005000,4.060000
67376.044000,4.060000
67378.001000,4.080000
