#Time(sec since midnight),Speed(Kts)
65761.780000,7.890000
65763.821000,8.070000
65769.779000,8.220000
65771.833000,7.970000
65773.787000,7.870000
65775.830000,7.760000
65777.777000,8.790000
65779.830000,8.570000
65781.774000,7.990000
65783.836000,7.230000
65785.788000,7.660000
65787.825000,8.280000
65789.785000,8.090000
65791.825000,8.340000
65793.784000,8.920000
65795.823000,8.110000
65797.784000,7.870000
65799.822000,7.430000
65801.780000,8.480000
65803.835000,8.490000
65805.780000,8.260000
65807.834000,8.260000
65809.798000,8.090000
65811.831000,7.250000
65813.792000,7.830000
65815.845000,7.890000
65817.791000,7.660000
65819.844000,8.750000
65821.789000,8.260000
65823.842000,7.930000
65825.788000,8.260000
65827.842000,8.510000
65829.786000,7.970000
65831.839000,7.910000
65835.839000,8.280000
65837.798000,8.420000
65839.836000,7.640000
65841.782000,7.560000
65843.835000,7.720000
65845.794000,7.870000
65847.831000,7.890000
65849.793000,8.220000
65851.832000,8.070000
65853.797000,7.740000
65855.845000,7.740000
65857.789000,8.160000
65859.845000,8.140000
65861.790000,8.300000
65863.843000,8.400000
65865.787000,7.760000
65867.826000,7.930000
65869.785000,8.280000
65871.823000,8.400000
65873.783000,8.590000
65875.837000,7.870000
65877.782000,8.200000
65879.835000,8.260000
65881.780000,8.220000
65883.834000,7.540000
65885.778000,7.890000
65887.832000,7.910000
65889.792000,7.540000
65891.831000,7.780000
65893.791000,8.480000
65895.829000,7.740000
65897.793000,7.720000
65902.029000,8.140000
65903.826000,8.610000
65905.788000,8.260000
65907.824000,8.010000
65909.785000,8.340000
65911.823000,8.630000
65913.783000,8.240000
65915.836000,7.850000
65917.781000,8.030000
65919.835000,8.240000
65921.781000,8.260000
65923.834000,8.670000
65925.793000,9.250000
65927.784000,8.630000
65929.793000,7.970000
65931.784000,7.790000
65933.789000,7.850000
65935.781000,8.010000
65937.790000,8.160000
65939.782000,8.200000
65941.787000,7.970000
65943.794000,7.810000
65945.786000,7.810000
65947.793000,8.490000
65949.784000,8.510000
65951.789000,8.530000
65953.783000,8.790000
65955.789000,8.160000
65957.781000,8.360000
65959.794000,7.950000
65961.779000,8.090000
65963.786000,8.280000
65965.793000,8.050000
65967.864000,8.550000
65969.822000,8.440000
65971.782000,8.340000
65973.791000,8.070000
65975.780000,7.950000
65977.787000,8.630000
65979.779000,8.480000
65981.787000,8.340000
65983.779000,7.830000
65985.785000,8.670000
65987.791000,8.630000
65989.798000,8.280000
65991.789000,7.760000
65993.798000,8.110000
65995.803000,8.630000
65997.795000,8.490000
65999.802000,8.110000
66001.795000,8.420000
66003.801000,8.590000
66005.791000,8.460000
66007.798000,8.480000
66009.792000,8.110000
66011.798000,7.910000
66013.788000,7.430000
66015.795000,8.340000
66017.789000,8.480000
66019.795000,8.030000
66021.815000,8.050000
66023.791000,7.740000
66025.800000,8.050000
66027.792000,7.910000
66029.799000,7.850000
66031.789000,7.720000
66033.796000,8.400000
66035.788000,8.360000
66037.795000,8.510000
66039.801000,8.340000
66041.793000,8.140000
66043.800000,7.870000
66045.792000,7.990000
66047.799000,7.930000
66049.805000,7.950000
66051.797000,8.440000
66053.804000,8.300000
66055.811000,8.220000
66057.802000,8.440000
66059.811000,7.580000
66061.801000,6.960000
66063.808000,6.980000
66065.810000,7.000000
66067.806000,6.860000
66069.798000,7.210000
66071.804000,6.570000
66073.798000,7.170000
66075.803000,7.430000
66077.810000,6.860000
66079.801000,7.370000
66081.809000,7.540000
66083.810000,8.380000
66085.806000,8.110000
66087.797000,8.280000
66089.806000,7.890000
66092.063000,8.460000
66093.912000,9.000000
66095.810000,8.460000
66097.801000,7.350000
66099.808000,7.430000
66101.799000,7.910000
66103.806000,8.480000
66105.798000,7.680000
66107.930000,7.310000
66109.876000,7.640000
66111.928000,8.510000
66115.928000,7.970000
66117.872000,7.390000
66119.926000,7.950000
66121.870000,9.060000
66123.925000,8.960000
66125.869000,8.630000
66127.924000,7.620000
66129.867000,7.830000
66131.921000,7.890000
66133.865000,7.780000
66135.920000,8.280000
66137.880000,8.570000
66139.918000,8.480000
66141.877000,8.340000
66143.916000,8.050000
66145.893000,7.740000
66147.914000,7.600000
66149.875000,7.100000
66151.913000,6.880000
66153.875000,7.540000
66155.927000,7.790000
66157.870000,7.390000
66161.871000,6.320000
66163.924000,6.120000
66165.867000,7.130000
66167.922000,7.250000
66169.883000,6.380000
66171.920000,5.730000
66173.880000,6.590000
66175.934000,6.590000
66177.878000,5.680000
66179.933000,5.890000
66181.887000,6.550000
66183.931000,6.650000
66185.877000,6.340000
66187.930000,5.970000
66189.875000,6.140000
66191.934000,6.570000
66193.873000,6.670000
66195.927000,6.380000
66197.871000,6.160000
66199.924000,6.100000
66201.884000,6.030000
66203.923000,6.570000
66205.884000,6.340000
66207.922000,6.180000
66209.882000,6.160000
66211.920000,6.630000
66213.880000,6.730000
66215.934000,6.360000
66217.877000,5.790000
66219.931000,5.700000
66221.876000,6.410000
66223.930000,7.000000
66227.301000,6.410000
66228.211000,5.890000
66229.889000,5.850000
66231.943000,6.060000
66233.888000,5.910000
66235.942000,5.660000
66237.886000,5.830000
66239.939000,5.930000
66241.885000,5.810000
66243.923000,5.700000
66245.881000,5.850000
66247.921000,5.990000
66249.881000,5.910000
66251.935000,5.850000
66253.878000,5.730000
66255.933000,6.060000
66257.878000,6.220000
66259.932000,6.030000
66261.887000,5.480000
66263.929000,5.620000
66265.875000,5.930000
66267.929000,5.970000
66269.874000,5.830000
66271.927000,5.810000
66273.887000,5.990000
66275.926000,6.010000
66277.886000,5.770000
66279.936000,5.680000
66281.900000,5.910000
66283.921000,6.120000
66285.882000,6.050000
66287.906000,6.120000
66289.849000,6.120000
66291.904000,5.930000
66293.879000,5.660000
66295.901000,5.850000
66297.860000,6.280000
66299.900000,6.510000
66301.859000,6.280000
66303.899000,5.890000
66305.857000,5.700000
66307.896000,5.890000
66309.856000,6.300000
66311.895000,6.260000
66313.861000,5.970000
66315.909000,5.830000
66317.853000,6.080000
66319.907000,6.380000
66321.852000,6.410000
66323.909000,6.200000
66325.850000,6.010000
66327.904000,6.030000
66329.850000,6.220000
66331.903000,6.380000
66333.846000,6.360000
66335.901000,6.240000
66337.846000,6.080000
66339.901000,6.200000
66341.874000,6.220000
66343.897000,6.360000
66345.858000,6.410000
66347.912000,6.340000
66349.871000,6.180000
66351.909000,6.260000
66353.871000,6.300000
66355.909000,6.280000
66357.870000,6.300000
66360.126000,6.140000
66362.008000,6.030000
66363.906000,6.160000
66365.865000,6.340000
66367.918000,6.430000
66369.864000,6.550000
66371.917000,6.240000
66373.862000,6.200000
66375.916000,6.260000
66377.860000,6.260000
66379.914000,6.120000
66381.858000,6.060000
66383.914000,5.990000
66385.856000,6.030000
66387.910000,5.850000
66389.855000,6.080000
66393.870000,6.010000
66397.868000,5.890000
66401.867000,5.990000
66403.904000,5.830000
66405.864000,5.870000
66407.918000,5.950000
66409.879000,6.050000
66411.918000,5.970000
66413.877000,6.030000
66415.915000,6.050000
66417.876000,6.100000
66419.914000,6.320000
66421.873000,6.080000
66423.958000,5.970000
66425.872000,6.010000
66428.600000,5.990000
66430.042000,6.050000
66431.925000,6.060000
66433.869000,6.060000
66435.922000,6.080000
66437.867000,5.990000
66439.921000,5.890000
66441.866000,6.010000
66443.920000,6.030000
66445.865000,5.890000
66447.925000,5.990000
66449.862000,6.300000
66451.916000,6.470000
66453.877000,6.510000
66455.916000,6.630000
66457.875000,6.450000
66459.913000,6.380000
66461.874000,6.450000
66463.913000,6.220000
66465.871000,6.320000
66467.925000,6.380000
66469.901000,6.280000
66471.941000,6.180000
66473.896000,6.030000
66475.938000,5.990000
66477.897000,6.160000
66479.937000,6.010000
66481.882000,6.200000
66483.934000,6.160000
66485.894000,6.100000
66487.933000,6.450000
66489.911000,6.300000
66491.932000,5.930000
66493.890000,6.410000
66495.993000,6.140000
66497.891000,6.060000
66499.929000,6.200000
66501.887000,6.220000
66503.926000,6.220000
66505.887000,6.200000
66507.925000,6.220000
66509.883000,6.160000
66511.939000,6.280000
66513.884000,6.280000
66515.938000,6.300000
66517.895000,6.340000
66519.935000,5.990000
66521.880000,5.850000
66523.933000,5.560000
66525.894000,5.400000
66527.962000,5.500000
66529.893000,5.460000
66531.948000,5.460000
66533.890000,5.560000
66535.962000,5.580000
66537.889000,5.560000
66539.958000,5.600000
66541.888000,5.710000
66543.959000,5.890000
66545.886000,5.930000
66547.954000,5.850000
66549.932000,5.790000
66551.954000,5.600000
66553.882000,5.910000
66555.951000,5.930000
66557.881000,5.930000
66559.952000,5.910000
66561.896000,5.970000
66563.949000,6.050000
66565.892000,5.990000
66567.948000,5.850000
66569.892000,5.730000
66571.960000,5.680000
66573.891000,5.830000
66575.960000,6.060000
66577.890000,6.060000
66579.959000,6.010000
66581.886000,5.910000
66583.957000,6.080000
66585.886000,6.140000
66587.940000,6.160000
66589.882000,6.260000
66591.937000,6.120000
66593.883000,6.140000
66595.937000,6.200000
66597.879000,6.160000
66599.935000,6.300000
66601.880000,6.200000
66603.933000,6.010000
66605.892000,6.050000
66607.931000,5.970000
66609.891000,5.770000
66611.930000,5.890000
66613.890000,5.910000
66615.937000,5.700000
66618.045000,5.830000
66621.839000,5.950000
66621.886000,5.930000
66623.928000,5.970000
66625.884000,5.950000
66627.922000,5.950000
66629.883000,5.990000
66632.017000,5.990000
66633.881000,6.060000
66635.936000,6.030000
66637.879000,6.010000
66639.935000,5.870000
66641.877000,6.010000
66643.932000,6.140000
66645.892000,6.080000
66647.963000,6.220000
66649.907000,6.080000
66651.963000,6.160000
66653.904000,6.100000
66655.959000,6.100000
66657.904000,6.300000
66659.959000,6.240000
66661.901000,6.260000
66663.955000,6.180000
66665.901000,6.140000
66667.955000,6.260000
66669.914000,6.380000
66671.951000,6.430000
66673.913000,6.470000
66675.952000,6.400000
66677.926000,6.360000
66679.950000,6.240000
66681.910000,6.120000
66683.948000,6.160000
66686.064000,6.160000
66688.120000,6.050000
66689.906000,5.910000
66691.960000,5.970000
66693.905000,6.180000
66695.962000,6.590000
66697.902000,6.510000
66699.956000,6.010000
66701.918000,5.970000
66703.956000,6.100000
66705.899000,5.910000
66707.954000,6.200000
66709.913000,6.140000
66711.954000,6.010000
66713.912000,5.850000
66717.910000,6.100000
66719.950000,6.080000
66721.907000,6.160000
66723.947000,6.240000
66725.906000,6.320000
66727.946000,6.530000
66729.914000,6.610000
66731.959000,6.510000
66733.903000,6.490000
66735.958000,6.510000
66737.934000,6.530000
66739.959000,6.430000
66741.901000,6.550000
66743.969000,6.470000
66745.900000,6.550000
66747.953000,6.960000
66749.911000,6.570000
66751.950000,6.430000
66754.398000,6.470000
66755.951000,6.550000
66757.910000,6.490000
66759.947000,6.510000
66761.909000,6.450000
66763.947000,6.510000
66765.910000,6.860000
66767.960000,6.490000
66769.906000,6.410000
66773.919000,6.570000
66775.957000,6.470000
66777.917000,6.550000
66779.955000,6.550000
66781.915000,6.510000
66783.964000,6.450000
66785.913000,6.530000
66787.952000,6.450000
66789.912000,6.510000
66793.910000,6.750000
66795.949000,6.780000
66797.909000,6.820000
66799.949000,6.820000
66801.922000,6.750000
66803.960000,6.690000
66805.952000,6.820000
66807.961000,6.900000
66809.921000,6.820000
66811.958000,6.780000
66813.918000,6.780000
66815.957000,6.980000
66817.918000,6.900000
66819.953000,6.780000
66822.115000,6.840000
66823.953000,6.900000
