#Time,Speed(Kts)
71078.705000,8.670000
71080.648000,8.690000
71082.703000,8.790000
71084.648000,8.690000
71086.706000,8.790000
71088.661000,8.650000
71090.699000,8.790000
71092.660000,8.610000
71094.699000,8.840000
71096.657000,8.610000
71098.696000,8.790000
71100.656000,8.670000
71102.697000,8.750000
71104.654000,8.570000
71106.692000,8.610000
71108.654000,8.650000
71110.692000,8.730000
71112.660000,8.710000
71114.690000,8.590000
71116.650000,8.630000
71118.704000,8.590000
71120.649000,8.730000
71122.701000,8.630000
71124.647000,8.730000
71126.700000,8.630000
71128.646000,8.630000
71130.705000,8.610000
71132.659000,8.710000
71134.697000,8.590000
71136.658000,8.610000
71138.697000,8.670000
71140.656000,8.630000
71142.694000,8.550000
71144.655000,8.570000
71146.710000,8.480000
71148.668000,8.690000
71150.706000,8.550000
71152.667000,8.610000
71154.705000,8.650000
71156.670000,8.550000
71158.703000,8.610000
71160.663000,8.610000
71162.701000,8.570000
71164.661000,8.550000
71166.699000,8.490000
71168.659000,8.610000
71170.698000,8.550000
71172.659000,8.750000
71174.713000,8.400000
71176.655000,8.610000
71178.711000,8.460000
71180.655000,8.510000
71182.709000,8.420000
71184.668000,8.530000
71186.707000,8.490000
71188.654000,8.570000
71190.707000,8.550000
71192.917000,8.510000
71194.703000,8.510000
71196.743000,8.550000
71198.703000,8.550000
71200.668000,8.550000
71202.715000,8.530000
71204.663000,8.510000
71206.669000,8.530000
71208.660000,8.510000
71210.665000,8.480000
71212.658000,8.460000
71214.666000,8.530000
71216.657000,8.510000
71218.670000,8.550000
71220.670000,8.550000
71222.662000,8.530000
71224.669000,8.110000
71226.660000,8.530000
71228.667000,8.460000
71230.658000,8.530000
71232.666000,8.460000
71234.657000,8.530000
71236.669000,8.490000
71238.670000,8.570000
71240.661000,8.510000
71242.669000,8.460000
71244.669000,8.530000
71246.667000,8.440000
71248.659000,8.440000
71250.666000,8.440000
71252.658000,8.460000
71254.663000,8.490000
71256.656000,8.420000
71258.661000,8.360000
71260.655000,8.490000
71262.724000,8.480000
71264.668000,8.510000
71266.721000,8.510000
71268.683000,8.460000
71270.721000,8.420000
71272.680000,8.510000
71274.718000,8.510000
71276.680000,8.590000
71278.733000,8.570000
71280.687000,8.630000
71282.731000,8.710000
71284.676000,8.710000
71286.730000,8.650000
71288.674000,8.670000
71290.731000,8.690000
71292.672000,8.790000
71294.727000,8.670000
71296.671000,8.730000
71298.724000,8.730000
71300.685000,8.790000
71302.722000,8.710000
71304.682000,8.710000
71306.722000,8.750000
71308.682000,8.750000
71310.735000,8.770000
71312.679000,8.670000
71314.719000,8.810000
71316.677000,8.220000
71318.716000,7.370000
71320.677000,6.900000
71322.715000,6.320000
71324.685000,5.870000
71326.728000,5.580000
71328.688000,5.330000
71332.687000,4.960000
71334.739000,4.860000
71336.686000,4.720000
71338.724000,4.700000
71340.686000,4.590000
71342.739000,4.530000
71344.682000,4.510000
71346.736000,4.490000
71348.681000,4.570000
71350.736000,4.630000
71352.693000,4.740000
71354.733000,4.780000
71356.694000,4.820000
71358.733000,4.960000
71360.694000,5.000000
71362.729000,5.070000
71364.690000,5.150000
71366.729000,5.110000
71368.690000,5.170000
71370.726000,5.210000
71372.686000,5.190000
71374.726000,5.210000
71376.686000,5.250000
71378.737000,5.270000
71380.684000,5.250000
71382.722000,5.290000
71384.683000,5.290000
71386.696000,5.330000
71388.696000,5.330000
71390.688000,5.310000
71392.680000,5.350000
71394.686000,5.330000
71396.692000,5.330000
71398.777000,5.330000
71400.692000,6.160000
71402.683000,7.110000
71404.695000,7.760000
71406.681000,8.260000
71408.687000,8.480000
71410.694000,8.610000
71412.687000,8.750000
71414.692000,8.730000
71416.685000,8.960000
71418.692000,8.920000
71420.683000,8.940000
71422.689000,8.920000
71424.681000,8.960000
71426.688000,9.000000
71428.680000,9.020000
71430.695000,9.040000
71432.693000,9.020000
71434.684000,9.000000
71436.693000,8.980000
71438.684000,8.940000
71440.690000,8.920000
71442.681000,9.020000
71444.689000,9.100000
71446.697000,8.960000
71448.704000,9.060000
71450.710000,9.020000
71452.702000,8.980000
71454.694000,8.980000
71456.699000,8.960000
71458.692000,9.020000
71460.697000,8.960000
71462.689000,8.980000
71464.698000,9.080000
71466.860000,9.020000
71468.856000,9.060000
71470.717000,8.940000
71472.693000,9.020000
71474.701000,9.120000
71476.691000,9.000000
71478.699000,9.020000
71480.690000,9.000000
71482.698000,8.940000
71484.703000,9.040000
71486.696000,9.000000
71488.702000,8.940000
71490.693000,9.020000
71492.703000,8.960000
71494.692000,8.940000
71496.699000,8.940000
71498.690000,9.000000
71500.699000,8.980000
71502.688000,9.020000
71504.696000,9.120000
71506.703000,9.000000
71508.711000,9.170000
71510.711000,8.940000
71512.707000,9.120000
71514.700000,9.020000
71516.707000,8.980000
71518.700000,9.060000
71520.704000,9.000000
71522.711000,8.960000
71524.704000,9.040000
71526.696000,9.000000
71528.711000,8.960000
71530.708000,8.960000
71532.700000,9.000000
71534.708000,8.980000
71536.699000,8.980000
71538.706000,8.980000
71540.697000,8.980000
71542.704000,8.900000
71544.696000,8.920000
71546.702000,8.860000
71548.708000,8.900000
71550.700000,8.880000
71552.708000,8.960000
71554.710000,8.940000
71556.707000,8.920000
71558.698000,8.960000
71560.705000,9.000000
71562.696000,8.960000
71564.702000,8.960000
71566.803000,8.940000
71568.747000,8.960000
71570.802000,8.960000
71572.747000,8.980000
71574.800000,8.940000
71576.744000,8.980000
71578.799000,8.900000
71580.745000,9.040000
71582.804000,8.900000
71584.741000,9.020000
71586.795000,8.920000
71588.756000,8.860000
71590.796000,8.920000
71592.754000,9.020000
71594.808000,9.000000
