#Time(sec since midnight),Speed(Kts)
60447.128000,8.340000
60449.074000,8.510000
60451.130000,8.730000
60453.089000,8.880000
60455.142000,8.730000
60457.087000,9.210000
60459.141000,9.140000
60461.102000,8.840000
60463.143000,7.790000
60465.098000,6.900000
60467.139000,7.330000
60469.082000,8.130000
60471.153000,8.730000
60473.079000,9.450000
60475.151000,9.540000
60477.078000,9.120000
60479.149000,9.000000
60481.077000,9.120000
60483.149000,8.840000
60485.076000,8.900000
60487.145000,9.060000
60489.088000,9.140000
60491.159000,8.920000
60493.088000,8.860000
60495.142000,8.710000
60497.087000,8.130000
60499.155000,7.620000
60501.085000,8.730000
60503.153000,9.000000
60505.162000,8.940000
60511.151000,8.650000
60513.080000,8.860000
60515.149000,9.450000
60517.093000,9.430000
60519.147000,9.970000
60521.093000,9.640000
60523.147000,8.710000
60525.089000,8.160000
60527.144000,8.340000
60529.089000,9.310000
60531.143000,9.430000
60533.098000,9.100000
60535.141000,8.920000
60537.084000,8.940000
60539.141000,9.080000
60541.085000,8.400000
60543.149000,7.950000
60545.098000,8.200000
60547.137000,8.810000
60549.096000,8.900000
60551.152000,8.530000
60553.093000,8.830000
60555.149000,9.100000
60557.094000,8.920000
60559.148000,8.030000
60561.108000,7.760000
60563.146000,8.220000
60565.106000,8.810000
60567.145000,8.530000
60569.108000,8.510000
60571.142000,8.730000
60573.102000,7.780000
60577.148000,8.510000
60579.139000,9.350000
60581.114000,9.160000
60583.170000,9.310000
60585.114000,8.610000
60587.162000,8.360000
60589.127000,8.070000
60591.165000,8.940000
60593.142000,9.020000
60595.165000,9.060000
60597.140000,8.880000
60599.162000,8.570000
60601.138000,8.340000
60603.161000,8.380000
60605.151000,8.180000
60607.159000,8.280000
60609.150000,8.240000
60611.158000,8.630000
60613.150000,9.330000
60615.170000,9.430000
60617.147000,9.120000
60619.155000,8.030000
60621.147000,7.780000
60623.168000,7.740000
60625.143000,7.100000
60627.167000,7.990000
60629.143000,8.320000
60631.182000,8.510000
60633.155000,8.830000
60635.163000,8.480000
60637.156000,8.770000
60639.163000,9.100000
60641.152000,9.100000
60645.417000,9.120000
60647.174000,8.960000
60649.162000,8.920000
60651.172000,8.480000
60653.164000,8.770000
60655.170000,9.230000
60657.162000,9.120000
60659.169000,8.340000
60661.161000,7.520000
60663.168000,7.480000
60665.159000,7.870000
60667.177000,8.090000
60669.157000,9.170000
60671.163000,8.880000
60673.156000,9.120000
60675.180000,8.830000
60677.153000,8.840000
60679.178000,9.720000
60681.152000,9.120000
60683.176000,8.590000
60685.150000,8.180000
60687.174000,8.240000
60689.164000,7.850000
60691.188000,8.180000
60693.163000,8.240000
60695.185000,8.320000
60697.162000,8.480000
60699.185000,8.830000
60701.160000,8.420000
60703.182000,8.730000
60705.158000,9.310000
60707.197000,8.550000
60709.158000,7.970000
60711.212000,8.940000
60713.155000,8.810000
60715.271000,9.000000
60717.154000,8.770000
60719.194000,9.100000
60721.151000,8.030000
60723.206000,7.540000
60725.152000,7.790000
60727.205000,8.320000
60729.148000,8.110000
60731.218000,8.130000
60733.163000,8.320000
60735.216000,9.230000
60737.162000,9.720000
60739.215000,9.080000
60741.159000,8.570000
60743.213000,7.600000
60745.157000,8.130000
60747.228000,8.840000
60749.156000,9.190000
60751.242000,8.650000
60753.154000,8.650000
60755.226000,8.980000
60757.154000,9.000000
60759.223000,8.490000
60761.152000,8.260000
60763.223000,8.400000
60765.165000,8.810000
60767.219000,8.530000
60769.163000,9.040000
60771.234000,8.900000
60773.167000,8.380000
60775.231000,8.650000
60777.160000,8.670000
60779.216000,8.490000
60781.160000,8.480000
60783.230000,8.460000
60785.157000,9.020000
60787.228000,8.860000
60789.156000,7.990000
60791.226000,8.340000
60793.154000,8.920000
60795.223000,8.790000
60797.153000,9.520000
60799.223000,9.310000
60801.166000,9.760000
60803.220000,8.980000
60805.165000,9.120000
60807.219000,9.520000
60809.162000,8.920000
60811.218000,8.830000
60813.162000,8.880000
60815.216000,8.840000
60817.168000,8.900000
60819.214000,9.140000
60821.158000,8.480000
60823.212000,8.300000
60825.157000,8.180000
60827.211000,8.530000
60829.155000,8.340000
60831.209000,7.480000
60833.153000,8.110000
60835.219000,8.260000
60837.167000,8.750000
60839.206000,8.690000
60841.166000,8.510000
60843.206000,9.000000
60845.164000,8.810000
60847.217000,9.140000
60849.162000,9.140000
60853.160000,9.020000
60855.215000,9.310000
60857.158000,8.860000
60859.214000,8.300000
60861.170000,8.140000
60863.211000,8.240000
60865.157000,8.980000
60867.210000,8.730000
60869.156000,9.120000
60871.218000,8.240000
60873.169000,8.670000
60875.223000,8.880000
60877.167000,9.000000
60879.221000,8.590000
60881.165000,8.220000
60883.220000,8.050000
60885.164000,7.950000
60887.218000,8.300000
60889.161000,8.670000
60891.216000,8.360000
60893.161000,8.940000
60895.214000,9.310000
60897.158000,9.210000
60899.212000,8.830000
60901.158000,9.000000
60903.211000,8.670000
60905.169000,8.830000
60907.209000,8.630000
60909.154000,8.070000
60911.208000,8.240000
60913.152000,7.600000
60915.219000,7.700000
60917.370000,8.880000
60921.196000,8.840000
60923.204000,8.160000
60925.163000,8.030000
60927.216000,8.220000
60929.161000,8.590000
60931.216000,8.770000
60933.159000,8.300000
60935.213000,8.610000
60937.158000,9.020000
60939.213000,9.640000
60941.156000,9.250000
60943.210000,8.830000
60945.156000,8.770000
60947.209000,8.920000
60949.169000,9.350000
60951.206000,9.210000
60953.167000,8.880000
60955.207000,9.310000
60957.166000,9.640000
60959.218000,9.990000
60961.165000,9.020000
60963.218000,8.320000
60965.164000,8.280000
60967.217000,7.990000
60969.160000,8.090000
60971.215000,8.240000
60973.161000,8.380000
60975.214000,7.370000
60977.157000,8.750000
60979.211000,8.900000
60981.156000,8.650000
60983.209000,9.310000
60985.153000,8.750000
60987.413000,8.420000
60989.339000,8.220000
60991.207000,8.710000
60993.167000,8.650000
60995.205000,8.920000
60997.165000,8.830000
60999.204000,9.680000
61001.165000,10.050000
61003.218000,9.860000
61005.161000,9.680000
61007.217000,9.930000
61009.162000,9.560000
61011.216000,8.670000
61013.157000,9.140000
61015.211000,9.470000
61017.158000,9.310000
61019.212000,8.650000
61021.155000,8.360000
61023.210000,8.160000
61025.154000,9.120000
61027.208000,9.040000
61029.167000,9.060000
61031.207000,9.470000
61033.166000,9.760000
61035.205000,10.400000
61037.165000,10.690000
61039.217000,9.970000
61041.163000,8.730000
61043.217000,7.680000
61045.162000,8.690000
61047.216000,8.980000
61049.160000,8.030000
61051.214000,8.490000
61053.158000,8.750000
61057.254000,8.670000
61059.211000,8.400000
61061.155000,8.340000
61063.209000,8.750000
61065.152000,9.160000
61067.207000,8.670000
61069.167000,8.260000
61071.205000,8.530000
61073.168000,8.940000
61075.204000,9.160000
61077.163000,9.330000
61079.202000,9.290000
61081.163000,9.170000
61083.216000,9.450000
61085.160000,9.720000
61087.214000,8.550000
61089.161000,8.420000
61091.214000,8.110000
61093.157000,8.570000
61095.213000,8.710000
61097.156000,8.240000
61099.211000,7.270000
61101.153000,7.720000
61103.208000,7.990000
61105.154000,9.190000
61107.207000,9.720000
61109.165000,9.270000
61111.203000,9.100000
61113.166000,9.580000
61115.204000,9.410000
61117.167000,9.740000
61119.217000,8.830000
61121.162000,8.460000
61123.466000,8.440000
61125.161000,7.660000
61127.218000,8.140000
61129.159000,8.690000
61131.213000,7.780000
61133.158000,7.580000
61135.211000,8.070000
61137.156000,8.300000
61139.209000,8.610000
61141.153000,6.410000
61143.209000,6.610000
61145.152000,7.430000
61147.205000,8.090000
61149.166000,7.310000
61151.204000,6.710000
61153.164000,7.460000
61155.202000,8.530000
61157.163000,7.500000
61159.217000,7.600000
61161.166000,7.790000
61163.215000,8.690000
61165.159000,8.590000
61167.214000,7.110000
61169.159000,7.640000
61171.217000,7.830000
61173.155000,7.930000
61175.211000,7.440000
61177.156000,7.190000
61179.209000,7.170000
61181.152000,7.600000
61183.206000,7.640000
61185.152000,7.790000
61187.207000,7.620000
61189.164000,7.970000
