#Time(sec since midnight),Speed(Kts)
70014.358000,0.120000
70016.409000,0.100000
70018.354000,0.170000
70020.408000,0.140000
70022.352000,0.190000
70024.407000,0.140000
70026.351000,0.120000
70028.405000,0.190000
70030.351000,0.100000
70032.404000,0.120000
70034.347000,0.170000
70036.403000,0.160000
70038.347000,0.140000
70040.416000,0.120000
70042.360000,0.100000
70044.415000,0.080000
70046.359000,0.080000
70048.413000,0.100000
70050.360000,0.080000
70052.412000,0.080000
70054.356000,0.100000
70056.409000,0.210000
70058.354000,0.100000
70060.410000,0.120000
70062.352000,0.140000
70064.406000,0.100000
70066.351000,0.100000
70068.420000,0.140000
70070.364000,0.160000
70072.418000,0.160000
70074.363000,0.780000
70076.417000,0.160000
70078.361000,0.140000
70080.414000,0.120000
70082.361000,0.080000
70084.414000,0.060000
70086.357000,0.060000
70088.411000,0.080000
70090.356000,0.100000
70092.412000,0.080000
70094.368000,0.060000
70096.423000,0.100000
70098.368000,0.100000
70100.422000,0.060000
70102.353000,0.120000
70104.425000,0.100000
70106.364000,0.120000
70108.421000,0.170000
70110.366000,0.170000
70112.420000,0.170000
70114.362000,0.190000
70116.417000,0.160000
70118.361000,0.120000
70120.416000,0.140000
70122.357000,0.100000
70124.413000,0.080000
70126.359000,0.100000
70128.427000,0.140000
70130.376000,0.140000
70132.426000,0.080000
70134.369000,0.120000
70136.424000,0.140000
70138.369000,0.140000
70140.421000,0.120000
70142.367000,0.170000
70144.421000,0.140000
70146.367000,0.140000
70148.436000,0.170000
70151.194000,0.160000
70152.433000,0.160000
70154.378000,0.140000
70156.431000,0.140000
70158.376000,0.160000
70160.429000,0.170000
70162.375000,0.160000
70164.429000,0.080000
70166.372000,0.120000
70168.426000,0.140000
70170.371000,0.080000
70172.426000,0.100000
70174.378000,0.140000
70176.422000,0.120000
70178.367000,0.060000
70180.422000,0.100000
70182.367000,0.140000
70184.419000,0.100000
70186.379000,0.160000
70188.435000,0.120000
70190.379000,0.160000
70192.434000,0.160000
70194.376000,0.120000
70196.430000,0.120000
70198.376000,0.160000
70200.445000,0.170000
70202.373000,0.190000
70204.427000,0.140000
70206.372000,0.230000
70208.442000,0.230000
70210.369000,0.190000
70212.440000,0.060000
70214.370000,0.160000
70216.439000,0.160000
70218.508000,0.140000
70220.436000,0.100000
70222.381000,0.100000
70224.435000,0.160000
70226.380000,0.080000
70228.441000,0.100000
70230.378000,0.080000
70232.431000,0.210000
70234.378000,0.140000
70236.431000,0.080000
70238.375000,0.140000
70240.429000,0.100000
70242.373000,0.100000
70244.428000,0.140000
70246.371000,0.120000
70248.440000,0.100000
70250.385000,0.160000
70252.442000,0.170000
70254.383000,0.120000
70256.437000,0.120000
70258.383000,0.120000
70260.437000,0.390000
70262.393000,0.120000
70264.450000,0.140000
70266.379000,0.160000
70268.450000,0.080000
70270.377000,0.100000
70272.451000,0.080000
70274.391000,0.100000
70276.446000,0.140000
70278.390000,0.080000
70280.444000,0.100000
70282.387000,0.080000
70284.442000,0.100000
70286.387000,0.100000
70288.441000,0.100000
70290.383000,0.040000
70292.439000,0.080000
70294.383000,0.080000
70296.454000,0.080000
70298.392000,0.100000
70300.436000,0.140000
70302.380000,0.100000
70304.450000,0.080000
70306.378000,0.100000
70310.393000,0.120000
70312.446000,0.160000
70314.390000,0.140000
70316.446000,0.100000
70318.420000,0.100000
70320.458000,0.100000
70322.388000,0.060000
70324.459000,0.100000
70326.385000,0.120000
70328.455000,0.080000
70330.400000,0.120000
70332.455000,0.100000
70334.397000,0.080000
70336.451000,0.080000
70338.397000,0.080000
70342.401000,0.100000
70346.393000,0.120000
70348.449000,0.160000
70350.393000,0.100000
70352.458000,0.100000
70354.390000,0.100000
70356.444000,0.080000
70358.389000,0.120000
70360.443000,0.080000
70362.385000,0.100000
70364.457000,0.100000
70366.387000,0.140000
70368.455000,0.060000
70370.399000,0.100000
70374.398000,0.120000
70376.483000,0.100000
70378.434000,0.100000
70380.449000,0.210000
70382.395000,0.100000
70384.449000,0.060000
70386.408000,0.060000
70390.407000,0.080000
70392.487000,0.140000
