#Time(sec since midnight),Speed(Kts)
63635.463000,7.150000
63637.455000,7.760000
63639.463000,7.330000
63641.468000,7.040000
63643.460000,6.880000
63645.467000,6.820000
63647.536000,6.860000
63649.480000,7.520000
63651.535000,7.110000
63653.481000,7.440000
63655.533000,6.530000
63657.478000,6.590000
63659.547000,6.880000
63661.648000,6.820000
63663.577000,6.750000
63665.490000,6.570000
63667.544000,6.410000
63669.488000,6.510000
63671.527000,6.550000
63673.487000,6.880000
63675.526000,7.580000
63677.486000,7.500000
63679.524000,7.150000
63681.485000,6.280000
63683.538000,6.100000
63685.482000,6.900000
63687.535000,7.170000
63689.482000,7.310000
63691.551000,7.390000
63693.490000,7.480000
63695.532000,7.250000
63697.478000,7.020000
63699.531000,7.330000
63701.476000,7.000000
63703.528000,7.060000
63705.475000,6.750000
63707.544000,6.380000
63709.489000,6.300000
63711.542000,6.820000
63713.486000,7.810000
63715.525000,7.890000
63717.485000,6.940000
63719.540000,6.550000
63721.482000,6.900000
63723.537000,7.370000
63725.482000,6.960000
63727.536000,6.880000
63729.701000,6.940000
63731.533000,6.880000
63733.728000,7.500000
63735.532000,7.080000
63737.495000,6.920000
63739.529000,6.750000
63741.490000,7.350000
63743.529000,7.130000
63745.490000,7.350000
63747.542000,7.560000
63749.486000,6.760000
63751.541000,6.160000
63753.487000,6.360000
63755.540000,6.400000
63757.483000,7.370000
63759.537000,7.370000
63761.483000,7.130000
63763.538000,6.980000
63765.480000,7.640000
63767.550000,6.550000
63769.495000,6.590000
63771.550000,5.850000
63773.493000,6.360000
63775.548000,6.710000
63777.493000,6.980000
63779.546000,6.900000
63781.503000,6.730000
63783.544000,6.120000
63785.488000,5.990000
63787.544000,6.080000
63789.503000,6.180000
63791.551000,7.990000
63793.501000,7.810000
63795.539000,7.500000
63797.499000,6.800000
63799.539000,6.840000
63801.498000,6.670000
63803.536000,6.900000
63805.496000,7.230000
63807.550000,7.250000
63809.494000,7.080000
63811.548000,6.670000
63813.493000,6.530000
63815.546000,6.260000
63817.491000,6.490000
63819.545000,6.940000
63821.489000,6.880000
63823.542000,7.040000
63825.502000,6.570000
63827.557000,6.880000
63829.502000,6.860000
63831.555000,6.630000
63833.500000,6.670000
63835.571000,6.610000
63837.499000,6.710000
63839.553000,6.710000
63841.513000,7.370000
63843.552000,7.890000
63845.510000,6.730000
63847.548000,6.080000
63849.510000,5.850000
63851.548000,7.330000
63853.507000,7.250000
63855.546000,7.560000
63857.506000,7.330000
63859.545000,7.130000
63861.514000,6.800000
