#Time,Speed(Kts)
72140.796000,9.060000
72142.836000,9.020000
72144.797000,9.080000
72146.835000,9.040000
72148.793000,8.920000
72150.832000,8.940000
72152.792000,9.060000
72154.832000,8.920000
72156.801000,9.120000
72158.859000,8.770000
72160.788000,9.100000
72162.843000,9.230000
72164.789000,9.080000
72166.794000,9.140000
72168.801000,9.230000
72170.793000,9.000000
72172.801000,8.940000
72174.804000,9.000000
72176.797000,8.980000
72178.791000,8.980000
72180.797000,8.980000
72182.914000,9.140000
72184.794000,9.160000
72186.787000,9.100000
72188.794000,9.270000
72190.801000,9.390000
72192.801000,9.060000
72194.798000,9.310000
72196.791000,9.100000
72198.798000,9.000000
72200.789000,9.000000
72202.796000,9.020000
72204.787000,9.020000
72206.795000,9.080000
72208.786000,9.390000
72210.793000,9.060000
72212.799000,9.160000
72214.791000,9.140000
72216.798000,9.040000
72218.801000,9.230000
72220.796000,8.840000
72222.818000,9.000000
72224.796000,7.950000
72226.850000,7.760000
72228.807000,7.410000
72230.862000,7.100000
72232.806000,6.780000
72234.861000,6.670000
72236.817000,6.550000
72238.858000,6.430000
72240.803000,6.260000
72242.858000,6.180000
72244.804000,6.160000
72246.861000,6.120000
72248.816000,6.140000
72252.815000,6.060000
72254.854000,6.030000
72256.813000,6.100000
72258.852000,6.050000
72260.812000,6.030000
72262.851000,6.060000
72264.808000,6.030000
72266.864000,6.050000
72268.996000,6.080000
72270.941000,6.030000
72272.834000,6.030000
72274.859000,5.990000
72276.805000,5.990000
72278.858000,6.030000
72280.817000,5.990000
72282.857000,6.080000
72284.816000,6.010000
72286.887000,6.010000
72288.816000,6.050000
72290.870000,5.970000
72292.814000,5.970000
72294.867000,6.050000
72296.812000,6.060000
72298.868000,6.280000
72300.825000,6.010000
72302.864000,6.080000
72304.824000,6.010000
72306.864000,6.050000
72308.822000,6.060000
72310.861000,5.990000
72312.822000,6.050000
72314.860000,5.970000
72316.827000,6.030000
72318.857000,6.030000
72320.818000,6.010000
72322.857000,5.970000
72324.817000,6.050000
72326.854000,5.970000
72328.814000,6.030000
72330.870000,5.810000
72332.814000,5.830000
72334.869000,5.130000
72336.873000,6.380000
72339.037000,4.960000
72341.014000,7.600000
72342.864000,6.320000
72344.823000,6.690000
72346.877000,5.520000
72348.823000,6.060000
72350.877000,5.700000
72352.820000,5.850000
72354.875000,5.930000
72356.835000,5.970000
72358.874000,5.950000
72360.835000,5.950000
72362.871000,5.970000
72364.832000,5.970000
72366.870000,5.910000
72368.830000,5.910000
72370.869000,5.870000
72372.829000,5.870000
72374.867000,5.850000
72376.826000,5.890000
72378.882000,5.870000
72380.825000,5.790000
72382.863000,5.810000
72384.824000,5.750000
72386.864000,5.710000
72388.821000,5.750000
72390.875000,5.710000
72392.834000,5.660000
72394.875000,5.640000
72396.834000,5.680000
72398.873000,5.640000
72400.832000,5.620000
72402.872000,5.680000
72404.831000,5.660000
72409.550000,5.700000
72410.883000,5.660000
72412.830000,5.660000
72414.888000,5.830000
72416.842000,5.750000
72418.880000,5.730000
72420.841000,5.830000
72422.879000,5.730000
72424.839000,5.710000
72426.877000,5.680000
72428.837000,5.710000
72430.876000,5.640000
72432.836000,5.680000
72434.874000,5.660000
72436.834000,5.680000
72438.874000,5.540000
72440.843000,5.700000
72442.902000,5.710000
72444.830000,5.680000
72446.884000,5.400000
72448.830000,5.790000
72450.882000,5.700000
72452.829000,5.680000
72454.881000,5.600000
72456.842000,5.660000
72458.894000,5.730000
72460.838000,5.680000
72462.877000,5.750000
72464.837000,5.680000
72466.893000,5.400000
72468.852000,5.680000
72470.891000,5.710000
72472.850000,5.680000
72474.938000,5.710000
72476.910000,5.710000
72478.887000,5.710000
72480.846000,5.640000
72482.886000,5.750000
72484.850000,5.700000
72486.883000,5.890000
72488.843000,5.710000
72490.883000,5.830000
72492.842000,5.910000
72494.880000,5.770000
72496.856000,5.750000
72498.895000,5.810000
72500.855000,5.790000
72502.894000,5.770000
72504.836000,5.770000
72508.836000,5.990000
72510.891000,5.810000
72512.850000,5.890000
72514.889000,5.870000
72516.848000,5.870000
72518.887000,5.790000
72520.846000,5.810000
72522.884000,5.790000
72524.845000,5.830000
72526.836000,5.810000
72528.852000,5.810000
72530.865000,5.770000
72532.841000,5.770000
72534.848000,5.790000
72536.841000,5.790000
72538.846000,5.850000
72540.839000,5.830000
72542.845000,6.060000
72544.837000,5.790000
72546.851000,5.810000
72548.850000,5.810000
72550.842000,5.790000
72552.849000,5.770000
72554.841000,5.750000
72556.847000,5.750000
72558.838000,5.790000
72560.847000,5.810000
72562.839000,5.810000
72564.843000,5.810000
72566.944000,5.790000
72568.844000,5.770000
72570.835000,5.830000
72572.850000,5.790000
72574.848000,5.850000
72576.840000,5.870000
72578.847000,5.790000
72580.838000,5.870000
72582.844000,5.810000
72584.837000,5.790000
72586.922000,5.850000
72588.866000,5.870000
72590.920000,5.850000
72592.895000,5.810000
72594.950000,5.810000
72596.863000,5.830000
72600.861000,5.870000
72602.946000,5.870000
72604.875000,5.870000
72606.914000,5.870000
72608.873000,5.830000
72610.911000,5.870000
72612.873000,5.850000
72614.911000,5.850000
72616.870000,5.890000
72618.908000,6.030000
72620.869000,5.930000
72624.869000,6.060000
72626.922000,6.080000
72628.865000,5.950000
72630.919000,6.080000
72632.864000,6.180000
72634.919000,6.100000
72636.861000,6.140000
72638.915000,6.160000
72640.861000,6.120000
72642.915000,6.100000
72644.874000,6.120000
72646.911000,6.060000
72648.874000,6.030000
72650.911000,6.360000
72652.878000,6.140000
72654.908000,7.110000
72656.870000,8.340000
72658.909000,8.590000
72660.869000,8.750000
72662.942000,8.860000
72664.882000,8.980000
72666.921000,9.080000
72668.865000,8.980000
72670.920000,9.040000
72672.879000,8.830000
72674.917000,8.940000
72676.877000,9.160000
72678.916000,9.040000
72680.876000,8.630000
72682.914000,9.040000
72684.874000,9.310000
72686.912000,9.170000
72688.878000,8.940000
72690.911000,9.160000
72692.871000,9.040000
72694.925000,8.750000
72696.870000,8.980000
72700.867000,8.900000
72702.920000,9.040000
72704.866000,9.080000
72706.929000,8.860000
72708.880000,9.020000
72710.917000,8.960000
72712.879000,8.980000
72714.917000,8.840000
72716.875000,9.040000
72720.876000,9.060000
72722.914000,8.940000
72724.872000,9.060000
72726.911000,8.880000
72728.873000,8.940000
72730.911000,9.000000
72732.884000,8.830000
72736.869000,8.940000
72740.883000,8.750000
72742.919000,8.840000
72744.881000,8.860000
72746.921000,8.900000
72748.880000,8.730000
72750.923000,8.670000
72752.877000,8.710000
72756.876000,8.610000
72758.931000,8.750000
72760.875000,8.730000
72762.912000,8.790000
