#Time(sec since midnight),Speed(Kts)
59384.912000,8.340000
59386.982000,7.580000
59388.926000,7.950000
59390.981000,8.280000
59392.924000,8.280000
59394.977000,8.070000
59396.922000,7.910000
59398.978000,8.240000
59400.921000,7.790000
59402.974000,7.760000
59404.920000,7.350000
59406.975000,7.870000
59408.933000,7.910000
59410.986000,7.830000
59412.931000,7.440000
59416.931000,7.580000
59418.983000,7.640000
59420.929000,7.890000
59425.867000,7.680000
59426.986000,7.740000
59428.924000,7.110000
59430.979000,6.860000
59432.925000,7.110000
59434.978000,7.760000
59436.924000,7.810000
59438.978000,8.320000
59440.921000,8.050000
59444.918000,7.790000
59446.988000,7.850000
59448.932000,8.360000
59450.987000,7.780000
59452.941000,7.370000
59454.985000,7.600000
59456.930000,7.790000
59458.983000,8.110000
59460.928000,7.520000
59462.982000,8.090000
59464.927000,8.530000
59466.995000,8.070000
59468.941000,7.970000
59470.995000,7.910000
59472.937000,7.620000
59474.992000,8.070000
59476.937000,8.160000
59478.992000,7.850000
59480.934000,8.140000
59482.989000,7.410000
59484.935000,7.720000
59486.988000,7.790000
59488.931000,7.890000
59493.039000,8.220000
59494.985000,7.870000
59496.940000,8.110000
59498.983000,7.720000
59500.927000,7.660000
59502.982000,8.050000
59504.941000,7.560000
59507.003000,7.410000
59508.940000,7.520000
59510.995000,8.240000
59512.939000,8.260000
59514.992000,7.970000
59516.937000,7.480000
59518.991000,7.600000
59520.936000,7.500000
59523.004000,8.070000
59524.949000,7.970000
59527.003000,7.790000
59528.948000,8.010000
59531.002000,7.790000
59532.948000,7.520000
59534.999000,7.170000
59536.943000,6.960000
59538.998000,7.210000
59540.943000,7.780000
59543.011000,7.430000
59544.940000,7.700000
59546.994000,7.830000
59548.940000,7.850000
59551.002000,7.580000
59552.937000,7.430000
59555.007000,7.250000
59556.936000,7.390000
59561.057000,7.540000
59562.987000,7.440000
59564.934000,7.790000
59567.004000,7.210000
59568.946000,7.290000
59571.000000,8.070000
59572.945000,8.130000
59575.000000,8.110000
59576.958000,8.420000
59578.997000,8.090000
59580.943000,7.620000
59582.997000,7.480000
59584.956000,7.850000
59587.012000,7.440000
59588.954000,7.350000
59591.009000,7.270000
59592.953000,6.800000
59595.007000,6.240000
59596.951000,6.570000
59599.005000,7.480000
59600.949000,7.890000
59603.003000,7.850000
59604.948000,7.310000
59608.947000,7.970000
59612.944000,6.860000
59614.999000,7.330000
59616.943000,7.580000
59620.956000,7.780000
59624.954000,7.660000
59626.946000,7.560000
59628.938000,7.480000
59630.945000,7.520000
59632.952000,7.540000
59634.943000,7.700000
59636.950000,7.600000
59638.941000,7.330000
59640.948000,7.640000
59642.939000,7.970000
59644.948000,8.130000
59646.952000,8.070000
59648.945000,8.160000
59650.952000,9.120000
59652.944000,8.790000
59654.952000,7.910000
59656.941000,7.760000
59658.949000,7.560000
59660.941000,7.190000
59662.949000,8.010000
59664.952000,8.420000
59666.945000,8.050000
59668.938000,7.000000
