#Time(sec since midnight),Speed(Kts)
61511.246000,8.440000
61513.190000,8.480000
61515.245000,7.390000
61517.188000,7.640000
61519.243000,7.580000
61521.187000,8.220000
61523.241000,8.010000
61525.185000,8.980000
61527.239000,7.950000
61529.184000,7.950000
61531.237000,8.380000
61533.189000,7.790000
61537.243000,7.520000
61539.234000,7.460000
61541.179000,8.200000
61543.232000,7.150000
61545.177000,7.390000
61547.248000,8.400000
61549.192000,8.510000
61551.245000,7.950000
61553.189000,7.990000
61555.245000,8.340000
61557.188000,9.250000
61559.244000,8.900000
61561.186000,8.420000
61563.240000,7.700000
61565.185000,7.520000
61567.240000,7.780000
61569.183000,7.760000
61571.252000,8.750000
61573.197000,8.460000
61575.236000,7.440000
61577.200000,6.920000
61579.234000,7.930000
61581.193000,8.180000
61583.249000,8.510000
61585.194000,7.830000
61587.254000,8.050000
61589.189000,8.550000
61591.245000,8.090000
61593.189000,7.660000
61595.244000,7.850000
61597.187000,8.200000
61599.242000,8.630000
61601.187000,8.240000
61605.592000,8.180000
61607.254000,8.030000
61609.199000,6.980000
61611.238000,7.780000
61613.196000,8.240000
61615.234000,8.360000
61617.194000,7.790000
61619.234000,7.810000
61621.205000,7.110000
61623.248000,7.350000
61625.192000,7.700000
61627.246000,8.180000
61629.205000,8.240000
61631.254000,8.400000
61633.204000,7.330000
61635.242000,7.130000
61637.203000,7.460000
61639.243000,8.260000
61641.200000,8.790000
61643.255000,8.770000
61645.199000,8.400000
61647.254000,8.460000
61649.197000,8.110000
61651.251000,7.390000
61653.195000,7.270000
61655.251000,7.430000
61657.194000,7.480000
61659.247000,7.790000
61661.192000,8.710000
61663.249000,8.980000
61665.204000,8.240000
61667.260000,7.990000
61669.205000,7.990000
61671.260000,8.300000
61673.204000,8.220000
61675.272000,8.320000
61677.203000,8.140000
61679.256000,7.620000
61681.201000,7.520000
61683.272000,8.790000
61685.214000,8.630000
61687.268000,7.970000
61689.213000,7.430000
61691.268000,7.230000
61693.209000,7.130000
61695.265000,8.110000
61697.210000,7.780000
61699.263000,7.370000
61701.214000,7.760000
61703.261000,8.240000
61705.206000,8.360000
61707.260000,8.440000
61709.206000,8.090000
61711.257000,8.030000
61713.203000,7.560000
61715.258000,7.150000
61717.202000,6.570000
61719.256000,6.570000
61721.200000,7.370000
61723.269000,7.410000
61725.199000,8.480000
61727.332000,7.830000
61729.213000,8.320000
61731.218000,8.010000
61733.211000,7.350000
61735.203000,7.620000
61737.208000,8.920000
61739.199000,8.980000
61741.207000,8.480000
61743.200000,8.280000
61745.213000,7.410000
61747.212000,7.290000
61749.204000,7.520000
61751.212000,7.460000
61753.204000,7.790000
61755.209000,7.540000
61757.200000,7.330000
61759.208000,8.440000
61761.200000,8.710000
61763.213000,7.790000
61765.211000,7.430000
61767.204000,7.190000
61769.212000,7.790000
61771.204000,8.570000
61773.208000,7.930000
61775.201000,7.250000
61777.209000,6.690000
61779.201000,7.270000
61781.206000,8.400000
61783.198000,7.790000
61785.205000,8.160000
61787.290000,8.240000
61789.235000,8.340000
61791.298000,8.880000
61793.233000,8.130000
61795.349000,8.460000
61799.334000,7.810000
61801.229000,7.210000
61803.283000,7.780000
61805.228000,7.890000
61807.283000,7.760000
61809.227000,7.720000
61811.296000,7.890000
61813.225000,8.420000
61815.296000,7.350000
61817.237000,7.520000
61819.292000,7.270000
61821.236000,7.170000
